,Symbol,Name,Sector
311,MGM:NYSE,MGM Resorts International,Consumer Discretionary
312,MCHP:NYSE,Microchip Technology,Information Technology
313,MU:NYSE,Micron Technology,Information Technology
314,MSFT:NYSE,Microsoft,Information Technology
315,MAA:NYSE,Mid-America Apartments,Real Estate
316,MRNA:NYSE,Moderna,Health Care
317,MHK:NYSE,Mohawk Industries,Consumer Discretionary
318,TAP:NYSE,Molson Coors Beverage Company,Consumer Staples
319,MDLZ:NYSE,Mondelez International,Consumer Staples
320,MPWR:NYSE,Monolithic Power Systems,Information Technology
321,MNST:NYSE,Monster Beverage,Consumer Staples
322,MCO:NYSE,Moody's Corporation,Financials
323,MS:NYSE,Morgan Stanley,Financials
324,MSI:NYSE,Motorola Solutions,Information Technology
325,MSCI:NYSE,MSCI,Financials
326,NDAQ:NYSE,Nasdaq,Financials
327,NTAP:NYSE,NetApp,Information Technology
328,NFLX:NYSE,Netflix,Communication Services
329,NWL:NYSE,Newell Brands,Consumer Discretionary
330,NEM:NYSE,Newmont,Materials
331,NWSA:NYSE,News Corp (Class A),Communication Services
332,NWS:NYSE,News Corp (Class B),Communication Services
333,NEE:NYSE,NextEra Energy,Utilities
334,NLSN:NYSE,Nielsen Holdings,Industrials
335,NKE:NYSE,Nike,Consumer Discretionary
336,NI:NYSE,NiSource,Utilities
337,NSC:NYSE,Norfolk Southern,Industrials
338,NTRS:NYSE,Northern Trust,Financials
339,NOC:NYSE,Northrop Grumman,Industrials
340,NLOK:NYSE,NortonLifeLock,Information Technology
341,NCLH:NYSE,Norwegian Cruise Line Holdings,Consumer Discretionary
342,NRG:NYSE,NRG Energy,Utilities
343,NUE:NYSE,Nucor,Materials
344,NVDA:NYSE,Nvidia,Information Technology
345,NVR:NYSE,NVR,Consumer Discretionary
346,NXPI:NYSE,NXP,Information Technology
347,ORLY:NYSE,O'Reilly Automotive,Consumer Discretionary
348,OXY:NYSE,Occidental Petroleum,Energy
349,ODFL:NYSE,Old Dominion Freight Line,Industrials
350,OMC:NYSE,Omnicom Group,Communication Services
351,OKE:NYSE,Oneok,Energy
352,ORCL:NYSE,Oracle,Information Technology
353,OGN:NYSE,Organon & Co.,Health Care
354,OTIS:NYSE,Otis Worldwide,Industrials
355,PCAR:NYSE,Paccar,Industrials
356,PKG:NYSE,Packaging Corporation of America,Materials
357,PH:NYSE,Parker-Hannifin,Industrials
358,PAYX:NYSE,Paychex,Information Technology
